station_id,station_name,institution,source_id,department,municipality,status,variable,precipitation_available,source_url,station_url,inventory_method,credit
asociacion_vivamos_mejor_caserio_chuacruz,Caserío Chuacruz,Asociación Vivamos Mejor,vivamos_mejor_estaciones,Sololá,,mantenimiento,precipitation,por_verificar,https://www.vivamosmejor.org.gt/sitio/estaciones-meteorologicas-solola/,https://ambientweather.net/dashboard/89771072704b24646d105a0dec52f706,extracted_from_source_page,Datos: Asociación Vivamos Mejor. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
asociacion_vivamos_mejor_estacion_cedracc,Estación CEDRACC,Asociación Vivamos Mejor,vivamos_mejor_estaciones,Sololá,Santa Cruz La Laguna,por_verificar,precipitation,por_verificar,https://www.vivamosmejor.org.gt/sitio/estaciones-meteorologicas-solola/,https://vivamosmejor.org.gt/dat/#estaciones,extracted_from_source_page,Datos: Asociación Vivamos Mejor. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
asociacion_vivamos_mejor_estacion_casa_santa_rita,Estación Casa Santa Rita,Asociación Vivamos Mejor,vivamos_mejor_estaciones,Sololá,Santa Lucía Utatlán,por_verificar,precipitation,por_verificar,https://www.vivamosmejor.org.gt/sitio/estaciones-meteorologicas-solola/,https://vivamosmejor.org.gt/dat/#estaciones,extracted_from_source_page,Datos: Asociación Vivamos Mejor. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
asociacion_vivamos_mejor_estacion_coatitlan_r_l,Estación CoAtitlán R.L.,Asociación Vivamos Mejor,vivamos_mejor_estaciones,Sololá,Santiago Atitlán,por_verificar,precipitation,por_verificar,https://www.vivamosmejor.org.gt/sitio/estaciones-meteorologicas-solola/,https://www.wunderground.com/dashboard/pws/IPANAJ5,extracted_from_source_page,Datos: Asociación Vivamos Mejor. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
asociacion_vivamos_mejor_estacion_escuela_de_formacion_agricola,Estación Escuela de Formación Agrícola,Asociación Vivamos Mejor,vivamos_mejor_estaciones,Sololá,Sololá,por_verificar,precipitation,por_verificar,https://www.vivamosmejor.org.gt/sitio/estaciones-meteorologicas-solola/,https://www.wunderground.com/dashboard/pws/ISANTACL3,extracted_from_source_page,Datos: Asociación Vivamos Mejor. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
asociacion_vivamos_mejor_estacion_lomas_de_atitlan,Estación Lomas de Atitlán,Asociación Vivamos Mejor,vivamos_mejor_estaciones,Sololá,San Andrés Semetabaj,por_verificar,precipitation,por_verificar,https://www.vivamosmejor.org.gt/sitio/estaciones-meteorologicas-solola/,https://www.wunderground.com/dashboard/pws/ISANTA535,extracted_from_source_page,Datos: Asociación Vivamos Mejor. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
asociacion_vivamos_mejor_estacion_oficina_central,Estación Oficina Central,Asociación Vivamos Mejor,vivamos_mejor_estaciones,Sololá,Panajachel,por_verificar,precipitation,por_verificar,https://www.vivamosmejor.org.gt/sitio/estaciones-meteorologicas-solola/,https://vivamosmejor.org.gt/dat/#estaciones,extracted_from_source_page,Datos: Asociación Vivamos Mejor. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
asociacion_vivamos_mejor_estacion_santa_clara_tv_cable,Estación Santa Clara TV Cable,Asociación Vivamos Mejor,vivamos_mejor_estaciones,Sololá,Santa Clara La Laguna,por_verificar,precipitation,por_verificar,https://www.vivamosmejor.org.gt/sitio/estaciones-meteorologicas-solola/,https://vivamosmejor.org.gt/dat/#estaciones,extracted_from_source_page,Datos: Asociación Vivamos Mejor. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
insivumeh_el_capitan,El Capitán,INSIVUMEH,insivumeh_precipitaciones_departamentos,Sololá,,activa_por_verificar,precipitation,si,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,,from_precipitation_page,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
insivumeh_el_tablon,El Tablón,INSIVUMEH,insivumeh_precipitaciones_departamentos,Sololá,,activa_por_verificar,precipitation,si,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,,from_precipitation_page,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
insivumeh_santiago_atitlan,Santiago Atitlán,INSIVUMEH,insivumeh_precipitaciones_departamentos,Sololá,,activa_por_verificar,precipitation,si,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,,from_precipitation_page,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
